species_list,Site Name,Longitude,Latitude,Month,Year,total_tolerant_species,total_sensitive_species,total_resident_species,total_migrant_species,total_unique_species,total_bird_count
"['Black-naped Oriole', 'Chestnut Munia', 'Golden-bellied Gerygone', 'Philippine Pied-Fantail', 'Rose-ringed Parakeet', 'Yellow-vented Bulbul', 'Zebra Dove']","BF Manresa, Paranaque City",121.026015,14.440093,8,2014,7,0,7,0,7,92
"['Barn Swallow', 'Brown Shrike', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray Wagtail', 'House Swift', 'Long-tailed Shrike', 'Philippine Bulbul', 'Philippine Pied-Fantail', 'Purple Needletail', 'Striated Grassbird', 'Zebra Dove']",Alabang. Manila. Philippines,121.0335445,14.417806,3,2014,10,2,8,4,12,31
"['Eurasian Tree Sparrow', 'Philippine Pied-Fantail', 'Yellow-vented Bulbul', 'Zebra Dove']",Mandaluyong City,121.0384476,14.5871137,3,2014,4,0,4,0,4,30
"['Barn Swallow', 'Brown Shrike', 'Common Kingfisher', 'Eurasian Tree Sparrow', 'Gray-rumped Swiftlet', 'Pacific Swallow', 'Philippine Pied-Fantail', 'Rock Pigeon', 'White-breasted Waterhen', 'Yellow Bittern', 'Yellow-vented Bulbul', 'Zebra Dove']","Ninoy Aquino Parks and Wildlife Center, Quezon City",121.0441661,14.6505447,11,2014,9,3,9,3,12,127
['Whiskered Tern'],"14.5678x121.0449 - Sep 25, 2014, 08:41",121.044906,14.567827,9,2014,1,0,0,1,1,2
"['Brown Shrike', 'Eurasian Tree Sparrow', 'Garden Sunbird', 'Yellow-vented Bulbul']","PH-NCR-Manila - 14.6002x121.0475 - Feb 17, 2014, 8:58",121.047452,14.60016,2,2014,3,1,3,1,4,20
"['Brown Shrike', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray-rumped Swiftlet', 'Yellow-vented Bulbul']","PH-NCR-Manila - 14.6002x121.0475 - Feb 17, 2014, 8:58",121.047452,14.60016,3,2014,4,1,4,1,5,22
"['Black-naped Oriole', 'Eurasian Tree Sparrow', 'Yellow-vented Bulbul']","PH-NCR-Manila - 14.6002x121.0475 - Feb 17, 2014, 8:58",121.047452,14.60016,5,2014,3,0,3,0,3,10
"['Black-naped Oriole', 'Collared Kingfisher', 'Eurasian Tree Sparrow', 'Philippine Jungle Crow', 'Philippine Pied-Fantail', 'Yellow-vented Bulbul']","PH-NCR-Manila - 14.6002x121.0475 - Feb 17, 2014, 8:58",121.047452,14.60016,6,2014,6,0,6,0,6,20
"['Black-naped Oriole', 'Collared Kingfisher', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Philippine Jungle Crow', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Yellow-vented Bulbul']","PH-NCR-Manila - 14.6002x121.0475 - Feb 17, 2014, 8:58",121.047452,14.60016,7,2014,8,0,8,0,8,65
"['Collared Kingfisher', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Garden Sunbird', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Yellow-vented Bulbul']","PH-NCR-Manila - 14.6002x121.0475 - Feb 17, 2014, 8:58",121.047452,14.60016,8,2014,7,0,7,0,7,32
"['Brown Shrike', 'Collared Kingfisher', 'Eurasian Tree Sparrow', 'Garden Sunbird', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Yellow-vented Bulbul']","PH-NCR-Manila - 14.6002x121.0475 - Feb 17, 2014, 8:58",121.047452,14.60016,9,2014,6,1,6,1,7,31
"['Brown Shrike', 'Collared Kingfisher', 'Philippine Pygmy Woodpecker', 'Yellow-vented Bulbul']","PH-NCR-Manila - 14.6002x121.0475 - Feb 17, 2014, 8:58",121.047452,14.60016,12,2014,3,1,3,1,4,10
"['Black-naped Oriole', 'Brown Shrike', 'Collared Kingfisher', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray-rumped Swiftlet', 'Little Egret', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'White-breasted Woodswallow', 'Yellow-vented Bulbul', 'Zebra Dove']",connecticut ghw,121.047748,14.597899,12,2014,11,1,11,1,12,79
"['Eurasian Kestrel', 'Gray-rumped Swiftlet']",Two World Square (Taguig),121.0489136,14.5349991,1,2014,2,0,1,1,2,5
"['Black-naped Oriole', 'Brown Shrike', 'Collared Kingfisher', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Lowland White-eye', 'Philippine Hanging-Parrot', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Rose-ringed Parakeet', 'Yellow-vented Bulbul']","Manila American Cemetery and Memorial, Taguig",121.0502762,14.5409409,3,2014,10,1,10,1,11,50
"['Barred Rail', 'Black-crowned Night Heron', 'Collared Kingfisher', 'Eurasian Tree Sparrow', 'Pacific Swift', 'Long-tailed Shrike', 'Lowland White-eye', 'Philippine Pied-Fantail', 'Pied Triller', 'Spotted Dove', 'Striated Grassbird', 'Yellow-vented Bulbul', 'Zebra Dove']","Manila American Cemetery and Memorial, Taguig",121.0502762,14.5409409,4,2014,13,0,12,1,13,47
"['Collared Kingfisher', 'Golden-bellied Gerygone', 'Philippine Jungle Crow', 'Lowland White-eye', 'Philippine Pied-Fantail', 'Pied Triller', 'Rose-ringed Parakeet', 'Spotted Dove', 'White-breasted Woodswallow']","Manila American Cemetery and Memorial, Taguig",121.0502762,14.5409409,7,2014,9,0,9,0,9,28
"['Arctic Warbler', 'Barn Swallow', 'Brown Shrike', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray-backed Tailorbird', 'Gray-rumped Swiftlet', 'Lowland White-eye', 'Pacific Swallow', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Rose-ringed Parakeet', 'Spotted Dove', 'Yellow-vented Bulbul', 'Zebra Dove']","Manila American Cemetery and Memorial, Taguig",121.0502762,14.5409409,10,2014,13,2,12,3,15,46
"['Black-crowned Night Heron', 'Collared Kingfisher', 'Common Sandpiper', 'Common Snipe', 'Crested Myna', 'Gray Wagtail', 'Little Egret', 'White-breasted Waterhen', 'White-breasted Woodswallow', 'Wood Sandpiper']","Carmona River, Southwoods Avenue, brgy. Binan",121.0546767,14.325377,3,2014,8,2,6,4,10,20
"['Eurasian Tree Sparrow', 'Garden Sunbird', 'Philippine Pied-Fantail']",Marcelo garden.,121.0562092,14.4750815,7,2014,3,0,3,0,3,9
"['Pacific Swallow', 'Yellow-vented Bulbul']","Philippines: BSA Twin Towers, Manila",121.0583282,14.5859726,3,2014,2,0,2,0,2,2
"['Barn Swallow', 'Black-crowned Night Heron', 'Eurasian Tree Sparrow', 'Little Egret', 'Pacific Swallow', 'Rock Pigeon', 'Yellow-vented Bulbul']",Bicutan,121.0589612,14.4743831,7,2014,7,0,6,1,7,61
"['Eurasian Tree Sparrow', 'Little Egret', 'Philippine Pied-Fantail', 'Yellow-vented Bulbul', 'Zebra Dove']",camp aguinaldo golf club,121.059555,14.608188,11,2014,5,0,5,0,5,24
"['Black-crowned Night Heron', 'Black Bittern', 'Eurasian Tree Sparrow', 'Little Egret', 'Pacific Swallow', 'Philippine Swamphen', 'Rock Pigeon', 'Yellow Bittern', 'Yellow-vented Bulbul']","Brgy. Lower Bicutan, Taguig",121.0601521,14.4892011,7,2014,7,2,9,0,9,62
"['Asian Glossy Starling', 'Philippine Scops-Owl']",University of the Philippines Diliman Campus,121.0647011,14.6532642,2,2014,1,1,2,0,2,3
