Species Name,Light Tolerance,Migratory Status
Rufous-lored Kingfisher,Sensitive,Resident
Rufous Paradise-Flycatcher,Sensitive,Resident
Scarlet Minivet,Sensitive,Resident
Short-crested Monarch,Sensitive,Resident
Southern Silvery-Kingfisher,Sensitive,Resident
Stripe-sided Rhabdornis,Sensitive,Resident
Striated Wren-Babbler,Sensitive,Resident
Violet Cuckoo,Sensitive,Resident
Wattled Broadbill,Sensitive,Resident
White-bellied Munia,Tolerant,Resident
White-browed Tailorbird,Tolerant,Resident
White-bellied Woodpecker,Sensitive,Resident
Writhed Hornbill,Sensitive,Resident
Yellow-breasted Fruit-Dove,Sensitive,Resident
Yellow-bellied Whistler,Sensitive,Resident
Yellowish Bulbul,Tolerant,Resident
Yellow-wattled Bulbul,Tolerant,Resident
Pink-necked Green-Pigeon,Tolerant,Resident
Red-footed Booby,Tolerant,Resident
Wandering Whistling-Duck,Tolerant,Resident
Visayan Cuckooshrike,Sensitive,Resident
Balicassiao,Tolerant,Resident
Bicolored Flowerpecker,Sensitive,Resident
Brahminy Kite,Tolerant,Resident
Magnificent Sunbird,Sensitive,Resident
Maroon-naped Sunbird,Sensitive,Resident
Negros Bleeding-heart,Sensitive,Resident
Negros Jungle Flycatcher,Sensitive,Resident
Visayan Tailorbird,Tolerant,Resident
Black-belted Flowerpecker,Sensitive,Resident
Rufous-crowned Bee-eater,Tolerant,Resident
Visayan Hornbill,Sensitive,Resident
Visayan Bulbul,Tolerant,Resident
Visayan Fantail,Sensitive,Resident
Visayan Shama,Sensitive,Resident
White-vented Whistler,Sensitive,Resident
White-winged Cuckooshrike,Sensitive,Resident
Yellow-faced Flameback,Sensitive,Resident
Red-crested Malkoha,Sensitive,Resident
Sierra Madre Crow,Sensitive,Resident
Northern Sooty-Woodpecker,Sensitive,Resident
Australasian Grass-Owl,Sensitive,Resident
Bar-bellied Cuckooshrike,Sensitive,Resident
Besra,Tolerant,Resident
Blackish Cuckooshrike,Sensitive,Resident
Blue-headed Fantail,Sensitive,Resident
Sunda Brush Cuckoo,Sensitive,Resident
Cinnamon Bittern,Tolerant,Resident
